,iso_code,2019,2020,2021,sum_new_cases,sum_new_deaths,sum_new_cases_per_million,sum_new_deaths_per_million,average_icu_patients,average_icu_patients_per_million,average_hosp_patients_per_million
49,AFG,500.522664145294,516.866552182696,368.754614175459,740.0,41.0,17.992999999999995,0.9980000000000002,0.0,0.0,0.0
50,AFG,500.522664145294,516.866552182696,368.754614175459,3291.0,141.0,80.017,3.426999999999999,0.0,0.0,0.0
51,AFG,500.522664145294,516.866552182696,368.754614175459,12093.0,319.0,294.029,7.757999999999998,0.0,0.0,0.0
52,AFG,500.522664145294,516.866552182696,368.754614175459,46821.0,1927.0,1138.4019999999998,46.85299999999999,0.0,0.0,0.0
53,AFG,500.522664145294,516.866552182696,368.754614175459,28495.0,1837.0,692.822,44.66199999999999,0.0,0.0,0.0
54,AFG,500.522664145294,516.866552182696,368.754614175459,6066.0,410.0,147.48600000000005,9.969000000000001,0.0,0.0,0.0
55,AFG,500.522664145294,516.866552182696,368.754614175459,1954.0,86.0,47.51000000000001,2.0909999999999993,0.0,0.0,0.0
56,AFG,500.522664145294,516.866552182696,368.754614175459,1076.0,76.0,26.162000000000003,1.8499999999999999,0.0,0.0,0.0
57,AFG,500.522664145294,516.866552182696,368.754614175459,1039.0,28.0,25.261,0.6800000000000003,0.0,0.0,0.0
58,AFG,500.522664145294,516.866552182696,368.754614175459,795.0,48.0,19.333000000000002,1.1660000000000004,0.0,0.0,0.0
59,AFG,500.522664145294,516.866552182696,368.754614175459,4848.0,58.0,117.87600000000002,1.4109999999999998,0.0,0.0,0.0
60,AFG,500.522664145294,516.866552182696,368.754614175459,10733.0,184.0,260.961,4.474999999999999,0.0,0.0,0.0
61,AFG,500.522664145294,516.866552182696,368.754614175459,4088.0,72.0,99.39599999999997,1.7519999999999993,0.0,0.0,0.0
62,AFG,500.522664145294,516.866552182696,368.754614175459,1132.0,13.0,27.52499999999999,0.31400000000000006,0.0,0.0,0.0
63,AFG,500.522664145294,516.866552182696,368.754614175459,1468.0,22.0,35.693,0.533,0.0,0.0,0.0
64,AFG,500.522664145294,516.866552182696,368.754614175459,2181.0,18.0,53.03,0.437,0.0,0.0,0.0
65,AFG,500.522664145294,516.866552182696,368.754614175459,3221.0,25.0,78.313,0.606,0.0,0.0,0.0
66,AFG,500.522664145294,516.866552182696,368.754614175459,7501.0,29.0,182.37999999999997,0.7050000000000001,0.0,0.0,0.0
67,AFG,500.522664145294,516.866552182696,368.754614175459,5938.0,23.0,144.37599999999998,0.559,0.0,0.0,0.0
68,AFG,500.522664145294,516.866552182696,368.754614175459,3875.0,22.0,94.21499999999997,0.535,0.0,0.0,0.0
69,AFG,500.522664145294,516.866552182696,368.754614175459,2844.0,11.0,69.14899999999999,0.266,0.0,0.0,0.0
70,AFG,500.522664145294,516.866552182696,368.754614175459,1652.0,16.0,40.16600000000001,0.38800000000000007,0.0,0.0,0.0
71,AFG,500.522664145294,516.866552182696,368.754614175459,986.0,33.0,23.973,0.8009999999999999,0.0,0.0,0.0
72,AFG,500.522664145294,516.866552182696,368.754614175459,7.0,0.0,0.17,0.0,0.0,0.0,0.0
73,AGO,2142.23875712854,1603.99347745326,1953.53375721508,7.0,2.0,0.19599999999999998,0.055999999999999994,0.0,0.0,0.0
74,AGO,2142.23875712854,1603.99347745326,1953.53375721508,20.0,0.0,0.56,0.0,0.0,0.0,0.0
75,AGO,2142.23875712854,1603.99347745326,1953.53375721508,59.0,2.0,1.6560000000000004,0.055999999999999994,0.0,0.0,0.0
76,AGO,2142.23875712854,1603.99347745326,1953.53375721508,198.0,9.0,5.563,0.252,0.0,0.0,0.0
77,AGO,2142.23875712854,1603.99347745326,1953.53375721508,864.0,39.0,24.278000000000002,1.0930000000000002,0.0,0.0,0.0
78,AGO,2142.23875712854,1603.99347745326,1953.53375721508,1506.0,56.0,42.319,1.5690000000000004,0.0,0.0,0.0
79,AGO,2142.23875712854,1603.99347745326,1953.53375721508,2318.0,75.0,65.134,2.100000000000001,0.0,0.0,0.0
80,AGO,2142.23875712854,1603.99347745326,1953.53375721508,5833.0,104.0,163.897,2.917000000000001,0.0,0.0,0.0
81,AGO,2142.23875712854,1603.99347745326,1953.53375721508,4334.0,64.0,121.77999999999999,1.7920000000000007,0.0,0.0,0.0
82,AGO,2142.23875712854,1603.99347745326,1953.53375721508,2414.0,57.0,67.83,1.5970000000000004,0.0,0.0,0.0
83,AGO,2142.23875712854,1603.99347745326,1953.53375721508,2243.0,61.0,63.02600000000001,1.7080000000000002,0.0,0.0,0.0
84,AGO,2142.23875712854,1603.99347745326,1953.53375721508,1011.0,42.0,28.407000000000007,1.1770000000000003,0.0,0.0,0.0
85,AGO,2142.23875712854,1603.99347745326,1953.53375721508,1504.0,29.0,42.263000000000005,0.812,0.0,0.0,0.0
86,AGO,2142.23875712854,1603.99347745326,1953.53375721508,4341.0,59.0,121.978,1.6520000000000006,0.0,0.0,0.0
87,AGO,2142.23875712854,1603.99347745326,1953.53375721508,7899.0,170.0,221.953,4.775000000000001,0.0,0.0,0.0
88,AGO,2142.23875712854,1603.99347745326,1953.53375721508,4298.0,134.0,120.769,3.7620000000000013,0.0,0.0,0.0
89,AGO,2142.23875712854,1603.99347745326,1953.53375721508,3928.0,111.0,110.37299999999999,3.112000000000001,0.0,0.0,0.0
90,AGO,2142.23875712854,1603.99347745326,1953.53375721508,4767.0,206.0,133.945,5.784999999999999,0.0,0.0,0.0
