location,Month-Year,new_cases
Antigua and Barbuda,May-22,627
Antigua and Barbuda,Jun-22,388
Antigua and Barbuda,Jul-22,132
Antigua and Barbuda,Aug-22,201
Antigua and Barbuda,Sep-22,124
Antigua and Barbuda,Oct-22,8
Antigua and Barbuda,Nov-22,0
Antigua and Barbuda,Dec-22,0
Antigua and Barbuda,Jan-23,0
Antigua and Barbuda,Feb-23,0
Argentina,Jan-20,0
Argentina,Feb-20,0
Argentina,Mar-20,1054
Argentina,Apr-20,3374
Argentina,May-20,12423
Argentina,Jun-20,47679
Argentina,Jul-20,126772
Argentina,Aug-20,226433
Argentina,Sep-20,333266
Argentina,Oct-20,415923
Argentina,Nov-20,257609
Argentina,Dec-20,200981
Argentina,Jan-21,301725
Argentina,Feb-21,180126
Argentina,Mar-21,241456
Argentina,Apr-21,628542
Argentina,May-21,804421
Argentina,Jun-21,688590
Argentina,Jul-21,459390
Argentina,Aug-21,255856
Argentina,Sep-21,71282
Argentina,Oct-21,31905
Argentina,Nov-21,41941
Argentina,Dec-21,323660
Argentina,Jan-22,2724248
Argentina,Feb-22,522000
Argentina,Mar-22,137255
Argentina,Apr-22,34319
Argentina,May-22,158343
Argentina,Jun-22,136599
Argentina,Jul-22,193135
Argentina,Aug-22,117918
Argentina,Sep-22,30195
Argentina,Oct-22,10455
Argentina,Nov-22,8372
Argentina,Dec-22,163892
Argentina,Jan-23,145996
Argentina,Feb-23,0
Armenia,Feb-20,0
Armenia,Mar-20,532
Armenia,Apr-20,1534
Armenia,May-20,7216
Armenia,Jun-20,16260
Armenia,Jul-20,13008
Armenia,Aug-20,5231
Armenia,Sep-20,6578
Armenia,Oct-20,39454
Armenia,Nov-20,45311
Armenia,Dec-20,24285
Armenia,Jan-21,7617
Armenia,Feb-21,5032
Armenia,Mar-21,20581
Armenia,Apr-21,23425
Armenia,May-21,6606
Armenia,Jun-21,2425
Armenia,Jul-21,5015
Armenia,Aug-21,12025
Armenia,Sep-21,19562
Armenia,Oct-21,46629
Armenia,Nov-21,30192
Armenia,Dec-21,6412
Armenia,Jan-22,22865
Armenia,Feb-22,52037
Armenia,Mar-22,2687
Armenia,Apr-22,348
Armenia,May-22,96
Armenia,Jun-22,280
Armenia,Jul-22,2122
Armenia,Aug-22,9033
Armenia,Sep-22,8477
Armenia,Oct-22,2367
Armenia,Nov-22,495
Armenia,Dec-22,239
Armenia,Jan-23,32
Armenia,Feb-23,0
Aruba,Mar-20,55
Aruba,Apr-20,45
Aruba,May-20,1
Aruba,Jun-20,2
Aruba,Jul-20,18
Aruba,Aug-20,1885
Aruba,Sep-20,1957
Aruba,Oct-20,550
Aruba,Nov-20,332
Aruba,Dec-20,644
Aruba,Jan-21,1477
Aruba,Feb-21,925
Aruba,Mar-21,1552
Aruba,Apr-21,1195
Aruba,May-21,347
Aruba,Jun-21,153
Aruba,Jul-21,592
Aruba,Aug-21,2846
Aruba,Sep-21,924
Aruba,Oct-21,425
Aruba,Nov-21,429
Aruba,Dec-21,4107
Aruba,Jan-22,12539
Aruba,Feb-22,684
Aruba,Mar-22,282
Aruba,Apr-22,880
Aruba,May-22,2188
Aruba,Jun-22,3684
Aruba,Jul-22,1362
Aruba,Aug-22,768
Aruba,Sep-22,122
Aruba,Oct-22,1218
Aruba,Nov-22,307
Aruba,Dec-22,111
Aruba,Jan-23,241
Aruba,Feb-23,0
Asia,Jan-20,9333
Asia,Feb-20,73839
Asia,Mar-20,96833
Asia,Apr-20,342990
Asia,May-20,618468
Asia,Jun-20,1166691
Asia,Jul-20,1991759
Asia,Aug-20,2818014
Asia,Sep-20,3555356
Asia,Oct-20,3046598
Asia,Nov-20,3077099
Asia,Dec-20,3101894
Asia,Jan-21,2398667
Asia,Feb-21,1909888
Asia,Mar-21,3484925
Asia,Apr-21,11017797
Asia,May-21,11741131
Asia,Jun-21,4556963
Asia,Jul-21,6250643
Asia,Aug-21,8096119
Asia,Sep-21,5794362
Asia,Oct-21,3695767
Asia,Nov-21,2799688
Asia,Dec-21,2529764
Asia,Jan-22,15851264
Asia,Feb-22,16513576
Asia,Mar-22,22812559
Asia,Apr-22,8612636
Asia,May-22,4547296
Asia,Jun-22,3652014
